trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9797086964745179}",20,0,-84.28253192815951,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.9792189645694596}",20,0,-60.74338930544802,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.9787294774691476}",25,0,-95.6787463627116,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.97824023505121}",30,0,-80.4784197763894,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.9777512371933363}",25,0,-185.66112355408058,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
47,False,"{'a': 0.1, 'e': 0.9772624837732771}",20,0,-23.3235806786225,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.9767739746688439}",30,0,-224.77990673941798,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
49,False,"{'a': 0.1, 'e': 0.9762857097579093}",20,0,-45.30891643200186,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.9757976889184073}",25,0,-178.76265973248354,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
51,False,"{'a': 0.1, 'e': 0.9753099120283326}",20,0,-91.30071971209318,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.9748223789657411}",30,0,-96.8182842206394,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.9743350896087494}",20,0,-74.1024547001705,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.973848043835535}",25,0,-174.39260578008384,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
55,False,"{'a': 0.1, 'e': 0.9733612415243368}",20,0,-121.9928463502467,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.972874682553454}",25,0,-172.83158600747367,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.9723883668012469}",20,0,-140.7711695517156,"{0: 8, 1: 2, 2: 6, 3: 4, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.9719022941461366}",35,23,-50.612684790391135,"{0: 7, 1: 4, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.1, 'e': 0.9714164644666048}",25,0,-168.73751949226852,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
60,False,"{'a': 0.1, 'e': 0.9709308776411942}",20,0,3.0229226205932056,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
